Tamaño: 436,000 elementos | Tiempo: 148.300 ms
Tamaño: 437,000 elementos | Tiempo: 146.300 ms
Tamaño: 438,000 elementos | Tiempo: 149.500 ms
Tamaño: 439,000 elementos | Tiempo: 146.000 ms
Tamaño: 440,000 elementos | Tiempo: 147.500 ms
Tamaño: 441,000 elementos | Tiempo: 149.500 ms
Tamaño: 442,000 elementos | Tiempo: 147.900 ms
Tamaño: 443,000 elementos | Tiempo: 149.300 ms
Tamaño: 444,000 elementos | Tiempo: 150.100 ms
Tamaño: 445,000 elementos | Tiempo: 150.600 ms
Tamaño: 446,000 elementos | Tiempo: 152.100 ms
Tamaño: 447,000 elementos | Tiempo: 150.000 ms
Tamaño: 448,000 elementos | Tiempo: 165.300 ms
Tamaño: 449,000 elementos | Tiempo: 162.500 ms
Tamaño: 450,000 elementos | Tiempo: 164.900 ms
Tamaño: 451,000 elementos | Tiempo: 164.700 ms
Tamaño: 452,000 elementos | Tiempo: 164.700 ms
Tamaño: 453,000 elementos | Tiempo: 170.200 ms
Tamaño: 454,000 elementos | Tiempo: 167.300 ms
Tamaño: 455,000 elementos | Tiempo: 165.500 ms
Tamaño: 456,000 elementos | Tiempo: 167.200 ms
Tamaño: 457,000 elementos | Tiempo: 165.900 ms
Tamaño: 458,000 elementos | Tiempo: 165.400 ms
Tamaño: 459,000 elementos | Tiempo: 166.800 ms
Tamaño: 460,000 elementos | Tiempo: 169.100 ms
Tamaño: 461,000 elementos | Tiempo: 168.900 ms
Tamaño: 462,000 elementos | Tiempo: 169.500 ms
Tamaño: 463,000 elementos | Tiempo: 170.100 ms
Tamaño: 464,000 elementos | Tiempo: 171.400 ms
Tamaño: 465,000 elementos | Tiempo: 170.900 ms
Tamaño: 466,000 elementos | Tiempo: 166.600 ms
Tamaño: 467,000 elementos | Tiempo: 168.700 ms
Tamaño: 468,000 elementos | Tiempo: 170.300 ms
Tamaño: 469,000 elementos | Tiempo: 172.900 ms
Tamaño: 470,000 elementos | Tiempo: 173.400 ms
Tamaño: 471,000 elementos | Tiempo: 172.600 ms
Tamaño: 472,000 elementos | Tiempo: 168.500 ms
Tamaño: 473,000 elementos | Tiempo: 170.400 ms
Tamaño: 474,000 elementos | Tiempo: 177.700 ms
Tamaño: 475,000 elementos | Tiempo: 204.700 ms
Tamaño: 476,000 elementos | Tiempo: 209.500 ms
